ENTE;STRUTTURA;INDIRIZZO;"LATITUDINE
LONGITUDINE";SITO;TELEFONO;EMAIL;AREA RIFERIMENTO;SERVIZIO;DESCRIZIONE
La Colomba APS;La Casa Di Remì;Via Mensa, 7 - Monticelli - 84062 Olevano Sul Tusciano (SA);40.649143, 15.018966; ;3332200261;ass.lacolomba2013@libero.it;Area Immigrazione;"Accoglienza residenziale MSNA
Accoglienza residenziale minori";Un servizio residenziale per in minori in difficoltà.
La Filanda Srl;S. Rita;Via Roma, 3 - 84087 Sarno (SA);40.813559, 14.616285;Www.lafilandapolosanitario.it;081 96 86 12;info@lafilandapolosanitario.it;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani;La struttura si dedica da anni all’assistenza di adulti non autosufficienti e segue la sua missione con grande senso di responsabilità, per garantire agli ospiti e alle loro famiglie un’atmosfera tranquilla e sicura. Il personale altamente qualificato, cordiale e sempre disponibile, si prende cura di ciascun anziano rispettando attitudini ed esigenze.
La Matrioska Aps;La Matrioska;via Valle - Coperchia di Pellezzano (SA)   ;40.719213, 14.768402;;;;Area Responsabilità Familiari;Servizio di ascolto alla famiglia con minore in difficoltà;
La Meridiana;Sede Legale;Via Dei Longobardi, snc - Benevento (AV);41.137403, 14.779569;www.cooperativasocialelameridiana.it;082451282;info@lameridianaonlus.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI);La Meridiana progetta ed eroga servizi socio-sanitari, assistenziali ed educativi, servizi di telesoccorso e telecontrollo per oltre 300 comuni e 5000 utenti.
La Piccola Perla;Comunità Alloggio “Madre Agostina”;Via I Maggio, Snc Apice (BN);41.128208, 14.950567;www.lapiccolaperla.org;3939448403;cooperativalapiccolaperla@gmail.com;Area Minori;Accoglienza residenziale minori;La comunità per minori ha una superficie abitabile complessiva di circa 300 mt quadri e si articola in un ampio soggiorno/sala da pranzo, cucina abitabile, ufficio/stanza degli educatori, una dispensa, 4 camere di cui 3 doppie ed una singola per i minori ospiti, 3 bagni, balcone e terrazze.
La Provvidenza;Fatima;Via Sabatella Scigliati, 20 - 84047 Capaccio (SA);40.481300, 15.017846; ;3392294619;cooperativalaprovvidenza@gmail.com;Area Immigrazione;Accoglienza residenziale MSNA; 
La Tavola Rotonda;Prato Verde;Via San Lorenzo, snc - 84084 Fisciano (Salerno);40.783859, 14.782873;www.latavolarotondacoop.it; ;info@tavolarotonda.net;Area Immigrazione;Accoglienza residenziale MSNA; 
La Tavola Rotonda;;Via la Carnale, 8 - 84127 Salerno (SA);40.671445, 14.779165;;;;Area Responsabilità Familiari;"Promozione istituto della tutela (SAAT, promozione e sostegno alle attività tutelari)
Sportello Salerno prossimità";
Leukos;Sede Legale;Via Luigi Guercio, 208 - Salerno (SA);40.675255, 14.778133;www.cooperativasocialeleukos.it;0899434365;coopsocialeleukos@virgilio.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); Cooperativa sociale che offre i seguenti servizi: doposcuola, laboratori educativi\ricreativi, educativa domiciliare, assistenza specialistica scolastica, assistenza domiciliare integrati.
Lo Iacono Pio - Ditta individuale;Servizio a domicilio;Via Alfredo De Crescenzo, 5 - Salerno (SA);40.669697, 14.785113;;;;Area Disabilità;Servizio Taxi Disabili;
Medea;Iris;Via Della Pietra, 4 - 81046 Grazzanise (Ce);41.090367, 14.097728;www.medea-coop.it;0823964987;iris@medea-coop.it;Area Immigrazione;Accoglienza residenziale MSNA;" “MEDEA” propone programmi di opportunità di integrazione, di socializzazione, di assistenza, di aggregazione e di lavoro al fine di favorire lo sviluppo delle attività sociali, educative e creative dei giovani presenti sul territorio. La varietà di servizi si articola su quattro aree:Cura-tre comunità alloggio per minori (ISMAEL - IRIS - NEVE’);Educazione-una comunità educativa a dimensione familiare (NO’AH);Lavoro- inserimento occupazionale di minori ospitati presso le nostre strutture, attraverso i servizi di cucina centralizzata - servizi di giardinaggio - servizi di pulizia - servizio di autista/accompagnatore;Territorio e Famiglia-progetti di promozione e sostegno del volontariato; Rete di famiglie - adozioni - affidi e genitorialità."
Mestieri Campania;;;;;;;Area Responsabilità Familiari;Progetto ITIA - Tirocini e formazione;
Monetti Gaetano - Ditta individuale;Servizio a domicilio;Via Eliodoro Lombardi, 1 - Salerno (SA);40.667526, 14.793743;;;;Area Disabilità;Servizio Taxi Disabili;
Nasce Un Sorriso;Sede Legale;Via Del Gallitello, 229 - Potenza (PZ);40.638357, 15.783423;www.nasceunsorriso.it;0971443463;info@nasceunsorriso.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); Offre sostegno socioassistenziale per famiglie che necessitano di assistenza domiciliare e ospedaliera ad anziani, malati e disabili.
Nuova Vita;I Have A Dream;Via G. Bruno, 3 - 80033 Cicciano (NA);40.964746, 14.533056;www.nuovavita.eu;0818261430;ihaveadreamcicciano@gmail.com;Area Immigrazione;Accoglienza residenziale MSNA; Comunità alloggio per persone affette da disturbi psicopatologici di etaà compresa tra gli 11 e 21 anni. La Cooperativa sociale Nuova Vita offre servizi di accoglienza residenziale attraverso la realizzazione di Comunità Alloggio per minori di età compresa tra gli 11 e i 18 anni. La Comunità è una struttura per l’accoglienza di minori in difficoltà , temporaneamente allontanati dai genitori o accolti in misura alternativa alla detenzione. L’obiettivo è sostenere gli ospiti nel percorso di crescita personale, consentendogli di vivere una vita serena e di appropriarsi degli strumenti necessari per modificare il proprio percorso di crescita.
Oltre L’Orizzonte;Casa Del Cuore;Via Luonghi, 20 - Giffoni Sei Casali (SA);40.718003, 14.903152; ;335 6516711;oltrelorizzonteonlus@outlook.com;Area Contrasto Alla Povertà;Accoglienza donne maltrattate e Donne con bambini;"L’associazione Oltre L’Orizzonte si occupa di: sostegno per persone in stato di bisogno presso le loro abitazioni e di supporto educativo ai minori e famiglie che vivono un disagio socio - relazionale - educativo; programma di inserimento sociale volte al benessere ed alla tutela dell’infanzia attraverso una programmazione e l’attuazione, ancora in corso, di attività significative in Italia quali recupero scolastico, campi estivi, viaggi culturali; sportello ascolto per le famiglie in difficoltà con la presenza di Assistenti Sociali esperti nel settore, mediazione familiare verso famiglie con figli provenienti da paesi esteri e per mediare le situazioni conflittuali durante la fase della separazione e del divorzio.
"
On The Road;La Casa Di Nelly;Via Monticelli, 21 - San Mango Piemonte (SA);40.695157, 14.850491; ;347 5711789;ontheroad.salerno@gmail.com;Area Contrasto Alla Povertà;Accoglienza donne maltrattate e Donne con bambini; Associazione che comprende un team di collaboratrici, psicologhe e assistenti sociali il cui scopo è quello di accogliere massimo otto minori con un passato burrascoso in una villa nel cuore di San Mango suddivisa su tre piani
On The Road;Rebirth;Via G. Romano, 4 Salerno (SA);40.673322, 14.778172; ;347 5711789;ontheroad.salerno@gmail.com;Area Contrasto Alla Povertà;Accoglienza donne maltrattate e Donne con bambini; 
Onmic;Seconda Stella A Destra;Via Palestro, 11 Salerno (SA);40.674627, 14.790817;www.omnic.it;089724572;info@omnic.it;Area Minori;Accoglienza semi residenziale minori; Centro sociale polifunzionale, semiresidenziale diurno con esperti qualificati e ricchi di esperienza messi a disposizione per le famiglie bisognose.
Onmic;Seconda Stella A Destra 2;Via L. Orofino, 49/55, Salerno (SA);40.672147, 14.784198;www.omnic.it;089724572;info@omnic.it;Area Minori;Accoglienza semi residenziale minori; 
Onmic;Casa Granozio;Via Carlo Granozio, 8 - 84127 Salerno (SA);40.669531, 14.786257;www.omnic.it;089724572;info@omnic.it;Area Immigrazione;Accoglienza residenziale MSNA; Comunità educativa per minori italiani e stranieri non accompagnati tesa a portare avanti una serie di programmi educativi personalizzati per l’inserimento scolastico, sociale e formativo, attraverso incontri di gruppo settimanali.
Onmic;Gli Amici Dell’Onmic;Via Orofino, 53 - Salerno (SA);40.672183, 14.784278;www.omnic.it;089724572;info@omnic.it;Area Disabilità;Centro Diurno Polifunzionale per persone con disabilità; 
Phoenix Cooperativa Sociale Onlus;Phoenix;Via Gentile   81031 Aversa (CE);40.973926, 14.214353; ;342 7845631;phoenixonlus@alice.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; La cooperativa ha lo scopo di perseguire nel rispetto del principio di parità di trattamento, l’interesse generale della comunità alla promozione umana e all’integrazione sociale dei cittadini attraverso la gestione stabile o temporanea, per conto proprio e di terzi, di servizi sociosanitari ed educativi, nonché attraverso lo svolgimento di attività agricole, industriali, commerciali o di servizi finalizzate all’inserimento lavorativo di persone svantaggiate.
Pianeti Diversi;Angeli Custodi;Via Castellammare, 50 - 80054 Gragnano (NA);40.693262, 14.509884;www.pianetidiversi.it;0818011772;info@pianetidiversi.it;Area Immigrazione;Accoglienza residenziale MSNA; Ha l’obiettivo primario di restituire ai minori la loro identità spesso violata e di individuare in condivisione con loro e con gli altri servizi coinvolti qual’è il percorso che li aiuterà a realizzare il futuro che desiderano, restituendo agli stessi fiducia nel prossimo e speranza nel domani.
Piccoli Passi Grandi Sogni;Peppino Brancati;Via Margherita Di Savoia, 22 - 80058 Torre Annunziata (NA);40.757231, 14.455271;www.piccolipassigrandisogni.it;0818624138;info@piccolipassigrandisogni.it;Area Immigrazione;Accoglienza residenziale MSNA; La struttura può ospitare massimo 8 minori, di età compresa tra 13 e 18 anni di sesso maschile fino ad un massimo di 21 anni d’età qualora si renda necessario il completamento del percorso educativo e di recupero.
Progenia - Società Cooperativa Sociale;Fondazione Juventus;Via Carlo Pisacane, 5 - Sala Consilina (SA);40.395500, 15.595392;www.progeniasc.it;0975 23215;info@progeniasc.it;Area Integrazione Socio-Sanitaria;"Residenza Sanitaria Assistita (RSA) Anziani
Residenza Sanitaria Assistita (RSA) Disabili";" Struttura che funge da: centro di riabilitazione per portatori di patologie complesse cui sono riservati trattamenti di psicoterapia, logopedia, terapia occupazionale, psicomotricità individuale e di gruppo, riabilitazione respiratoria e fisioterapia; centro diurno integrato per disabili, cittadini di ambo i sessi con media o grave limitazione dell’autosufficienza nelle attività quotidiane che però sono nelle condizioni di vivere presso il proprio domicilio e ciononostante di raggiungere la struttura semiresidenziale senza pregiudizio per la loro salute; RSA disabili in favore di soggetti adulti con disabilità fisiche, psichiche e sensoriali stabilizzate, non assistibili a domicilio o in forme alternative alla degenza piena, che necessitano di un medio livello di assistenza sanitaria."
Progetto Famiglia;Oasi Don Enrico Smaldone;Via Adriana, 18 - Angri (SA);40.736433, 14.579680;www.progettofamiglia.org;081 915548;casefamigliapf@progettofamiglia.org;Area Minori;Accoglienza residenziale minori;Comunità per gestanti e madri con figli
Prometeo 82;La Scintilla Di Prometeo;Via Rocco Cocchia, 30 Salerno (SA);40.664034, 14.802413;www.prometeo82.it;089331343;info@prometeo82.it;Area Minori;Accoglienza semi residenziale minori; 
Prometeo 82;Tutti A Casa;Via Posidonia, 161/6 - 84100 Salerno (SA);40.667658, 14.789588;www.prometeo82.it;089331343;info@prometeo82.it;Area Immigrazione;Accoglienza residenziale MSNA; 
Prometeo 82;Ghibli;Via Michele Conforti, 13;40.679597, 14.770692;www.prometeo82.it;089331343;ghibliprometeo@gmail.com;Area Minori;Accoglienza residenziale minori;"La Comunità Alloggio Ghibli è una struttura a carattere comunitario con accoglienza residenziale. Può ospitare fino a 7 minori, di entrambi i sessi, di età compresa tra i 13 e i 18 anni.
La struttura ospita minori appartenenti a nuclei familiari che presentano problematiche psico-sociali, che non sono in grado, cioè, di garantire ai minori risposte adeguate alle esigenze formative, affettive e psicologiche."
Prometeo 82;Sede Legale;Via Tanagro, 12 - Salerno (SA);40.660227, 14.808938;www.prometeo82.it;089331343;info@prometeo82.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI); La Cooperativa Prometeo 82 opera sul territorio salernitano e non solo da oltre 30 anni con attività rivolte al benessere psico-fisico di minori e famiglie.
Prometeo 82;Palazzo Belvedere;Strada Provinciale Sicignano-Petina, 35 - 84029 Sicigniano degli Alburni (SA);40.533588, 15.373418;www.prometeo82.it;089331343;info@prometeo82.it;Area Integrazione Socio-Sanitaria;Comunità tutelare; 
Quipus;I Terribili;Via Nazionale, 66 Parolise (Av);40.931092, 14.885785; ;08251913097;iterribili@gmail.com;Area Minori;Accoglienza residenziale minori;La struttura offre accoglienza ai giovani in uscita dalle comunità per i minori.Oltre all’alloggio l’intervento prevede anche servizi di ricerca attiva,accompagnamento al lavoro e disbrigo di pratiche burocratiche.L’obiettivo è aiutare i neomaggiorenni per i quali i servizi sociali di riferimento non prevedono più interventi di assistenza,a diventare autonomi e a “correre con le proprie gambe”.
RSA Valle D’Argento 2;Nuova Valle d’Argento;Via U. Linguiti - 84095 Giffoni Valle Piana (SA);40.744056, 14.926589;www.rsavalledargento2.it;089 803498;rsa.valledargento@gmail.com;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani;Struttura di assistenza residenziale per anziani e disabili.
Rugiada - Società Cooperativa Sociale;Amaranta - Comunità Educativa A Dimensione Familiare;Via Trav.Sa Fondo D'orto, 19/F Castellammare Di Stabia (NA);40.731091, 14.485078;www.cooprugiada.it;0818703456;amaranta@cooprugiada.it;Area Minori;Accoglienza residenziale minori;Amaranta ricrea un ambiente assimilabile il più possibile ad una famiglia, nella quale ricevere protezione,cure e accudimento,e grazie al quale venga garantito lo svolgimento di tutte le attività adeguate all’età di ogni minore.Infatti,la comunità crea un ambiente familiare,per un tempo definito, garantisca al giovane ospite una qualità di vita adeguata all’età, nel rispetto della sua storia,dei suoi bisogni e della sua personalità.
Rugiada - Società Cooperativa Sociale;Fiori Di Campo;Via San Giorgio 7 - Casola di Napoli (NA);40.703229, 14.529042;www.cooprugiada.it;0818794945;fioridicampo@cooprugiada.it;Area Minori;Accoglienza residenziale minori;La comunità rappresenta la modalità d’accoglienza di tipo familiare per minori di età compresa tra i 4 e 13 anni.Essa è una struttura di accoglienza dove la quotidianità è organizzata in un clima di serenità e coinvolgimento.La proposta metodologica della struttura è caratterizzata da un approccio di tipo cognitivo-comportamentale, in contatto attivo con la natura.Il contesto scelto è uno spazio fisico immerso nella natura,tutto ciò al fine di diffondere modelli di vita tradizionalmente basati sulla relazione con la natura e aperto ai limitrofi agglomerati urbani.
Rugiada - Società Cooperativa Sociale;La Casa Di Manu;Via Nazionale Sannitica, 38 Castelvenere (Bn);41.234212, 14.545604;www.cooprugiada.it;0824903015;amministrazione@cooprugiada.it;Area Minori;Accoglienza residenziale minori;La casa famiglia costituisce una proposta educativa integrativa alla famiglia perché ospita minori per i quali non è al momento praticabile l’affido.La casa si cura il funzionamento nell’arco delle 24h e per tutto l’anno.Al suo interno è possibile ospitare 6 minori,di età compresa da 0 e 6 anni,più un posto per emergenza.
S.S.R. Servizi Sanitari Residenziali S.R.L.;Villa Caruso;Via S. Potito, 12 - 84086 Casali-San Potito (SA);40.762423, 14.681011; ;;ssr.villacaruso@gmail.com;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani; 
Salerno Solidale Spa;Immacolata Concezione;Largo Luciani 14 - Salerno (SA);40.681043, 14.754680;www.salernosolidale.it;0892582519;info@salernosolidale.it;Area Persone Anziane;"Casa albergo residenziale
Attività motorie per anziani";La casa albergo dal 1997 è gestita da salerno solidale S.P.A.Fedele agli originari ideali, l’elegante residenza offre agli anziani un ospitalità di elevate qualità,abitativa e sociale.La struttura dispone di oltre 54 posti letto.Un equipe di operatori qualificati garantisce cure e servizi sociali ed assistenziali altamente professionalizzati,volti a stimolare l’autonomia individuale e di gruppo degli ospiti ed a renderne piacevole il soggiorno.
Salerno Solidale Spa;Centro Sociale Polifunzionale Attività Diurne per Anziani;Via Cantarella, snc - Salerno (SA);40.670750, 14.799366;www.salernosolidale.it;089751438;info@salernosolidale.it;Area Persone Anziane;Casa albergo semi residenziale; 
Salerno Solidale Spa;Centro Polifunzionale Francesco Petraglia;Via Guido Vestuti, s.n.c. - 84133 Salerno SA;40.669806, 14.798186;www.salernosolidale.it;089751438;centropetraglia@salernosolidale.it;Area Persone Anziane;"Centro polifunzionale anziani
Attività motorie per anziani"; Il centro polifunzionale è un luogo in cui gli anziani possono trascorrere la giornata con la guida di personale qualificato e vengono coinvolti in diverse attività. L’obiettivo è mantenere e recuperare le autonomie che gli anziani possiedono e offrire un valido sostegno alla famiglia. Il centro offre attività diurne agli anziani autosufficienti che ne fanno richiesta presso i segreteriati sociali del comune di salerno.
Salerno Solidale Spa;Sede Legale;Via Guido Vestuti, s.n.c. - 84133 Salerno SA;40.669806, 14.798186;www.salernosolidale.it;089751438;info@salernosolidale.it;Area Persone Anziane;Assistenza domiciliare anziani (ADA);"Salerno solidale è una società per azioni, a totale capitale pubblico, costituita il 27 gennaio 1997, presieduta dall’avv. Filomena Arcieri dal 3 maggio 2010, la quale ha i seguenti scopi: la prestazione di servizio socio-assistenziali alle persone, in particolare ad anziani, minori e disabili; la prestazione di servizi residenziali, semiresidenziali e domiciliari; l’istituzione e la gestione di centri sociali polivalenti, strutture sportive, ricreative, culturali e di spettacolo; l’organizzazione di convegni, feste, mostre ed eventi."
Santa Rita E Karol;Sede Legale;Via F. Confalonieri, 10 - Eboli (SA);40.533785, 14.920578; ;;;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI);" Salerno solidale è una società per azioni, a totale capitale pubblico, costituita il 27 gennaio 1997, presieduta dall’avv. Filomena Arcieri dal 3 maggio 2010, la quale ha i seguenti scopi: la prestazione di servizio socio-assistenziali alle persone, in particolare ad anziani, minori e disabili; la prestazione di servizi residenziali, semiresidenziali e domiciliari; l’istituzione e la gestione di centri sociali polivalenti, strutture sportive, ricreative, culturali e di spettacolo; l’organizzazione di convegni, feste, mostre ed eventi."
Silba Spa;Villa Silvia;Via Filomena Galdieri, 12 - 84086 Roccapiemonte (SA);40.765256, 14.693836;www.salernoriabilitazione.it;081 5144117;info@villasilvia.it;Area Integrazione Socio-Sanitaria;"Residenza Sanitaria Assistita (RSA) Anziani
Residenza Sanitaria Assistita (RSA) Disabili"; il Centro, nasce negli anni ‘30 e si occupa di riabilitazione estensiva per soggetti portatori di disabilità fisiche, psichiche e sensoriali ed all’assistenza di soggetti non autosufficienti di qualsiasi età in regime residenziale.
Silba Spa;Villa Alba;Via P. Atenolfi, 53 - 84013 Cava de’ Tirreni (SA);40.701931, 14.709284;www.salernoriabilitazione.it;089 441647;silbavilla@gmail.com;Area Integrazione Socio-Sanitaria;"Residenza Sanitaria Assistita (RSA) Anziani
Residenza Sanitaria Assistita (RSA) Disabili"; il Centro, nasce negli anni ‘30 e si occupa di riabilitazione estensiva per soggetti portatori di disabilità fisiche, psichiche e sensoriali ed all’assistenza di soggetti non autosufficienti di qualsiasi età in regime residenziale.
Social Ubuntu;La Casa Di Daniela;Via S. Allende, 29 - 80012 Calvizzano (NA);40.909642, 14.164172; ; ; ;Area Immigrazione;Accoglienza residenziale MSNA; 
Società Coop. Di Solid. Sociale “Sorriso” SCS;Sede Legale;Via Tanagro, 12 - Salerno (SA);40.660227, 14.808938;www.cooperativasorriso.it;328711142;coop.sorriso@tin.it;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità; La cooperativa nasce con lo scopo di perseguire l’interesse generale della comunità alla promozione umana ed all’integrazione sociale dei cittadini attraverso la gestione di servizi assistenziali, socio-sanitari ed educativi. La struttura è riservata a minori e giovani adulti sottoposti a provvedimento del Tribunale per i minorenni ion sede penale, civile o amministrativa, non in grado, a causa di disagio personale, socio-familiare, economico di condurre in modo responsabile ed autonomo il proprio progetto di vita.
Società Coop. Sociale “Progetto 2000”;Sede Legale;Via Leonado Da Vinci, snc - Pontecagnao Faiano (SA);40.638916, 14.902748;www.coopprogetto2000.com;089808704;info@progettogroup.eu;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità; Nata nel 1991 grazie ad alcuni giovani che ancora oggi vi lavorano, Progetto 2000 è una cooperativa sociale che vanta importanti riconoscimenti per la serietà e la correttezza con cui propone servizi e attività ai propri clienti. Si propone come interlocutore delle pubbliche amministrazioni e di strutture private per la progettazione, realizzazione e gestione di servizi rivolti ai cittadini, ed è diffusamente presente sul territorio nazionale, dove nel tempo ha ottenuto grandi risultati sia dal punto di vista sociale che economico, garantendo occupazione e assistenza a oltre 400 persone.
Società Coop. Sociale “Progetto 2000”;Casa Albergo San Francesco Da Paola;Via Ludovico Ariosto, 2 - 84081 Baronissi SA;40.740451, 14.764081;www.coopprogetto2000.com;089808704;info@progettogroup.eu;Area Persone Anziane;Casa albergo residenziale; Punto di riferimento per Salerno e provincia, è costituita da un’unica struttura disposta su un piano dove tutti gli ambienti sono stati di recente ristrutturati. Offre accoglienza per anziani per ricoveri temporanei che possono rappresentare dei veri e propri “ricoveri di sollievo”£ per garantire un periodo di riposo alle famiglie che scelgono di assistere l’anziano a casa e di non ricorrere al ricovero definitivo. Questi periodi in struttura, seppur limitati, possono essere utili per svolgere attività di riattivazione, assicurare la vigilanza sanitaria e promuovere il recupero dell’anziano, ad esempio dopo un ricovero ospedaliero.
Società Coop. Sociale “Raggio Di Sole”;Sede Legale;Via Tanagro, 12 - Salerno (SA);40.660227, 14.808938;www.coopraggiodisole.it;08118639880;info@coopraggiodisole.it;Area Disabilità;"Assistenza specialistica all’integrazione scolastica per alunni con disabilità
Trasporto collettivo disabili";"La Cooperativa Sociale Raggio di Sole è costantemente impegnata in progetti di vario genere.Le attività che svolgiamo nelle nostre strutture scaturiscono dallo studio delle teorie educative dei pedagogisti più importanti del passato e del presente.La nostra attenzione si rivolge particolarmente all’integrazione e al supporto alle etnie e culture differenti.
Il ruolo dei genitori è importante; sono sempre coinvolti in una serie di iniziative e attività di vari tipi: corsi di formazione specifici, assemblee, incontri, laboratori."
Società Coop. Sociale ARL “Laboratorio Sociale”;Sede Legale;Via Firenze, 33 - Pontecagnano Faiano (SA);40.638960, 14.879630;www.laboratoriosociale.eu;0892141689;info@laboratoriosociale.eu;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità;" La sua attività è Codice Ateco 2007 (96.09.09) ""Altre attività di servizi per la persona n.c.a.""."
Società Cooperativa A.R.S. Nova - Teatro Nuovo;Teatro Nuovo;Via Valerio Laspro, 8/C - Salerno (SA);40.685417, 14.769190;www.teatronuovosalerno.it;089220886;infop@teatronuovosalerno.it;Area Persone Anziane;Servizio integrazione anziani;
Societa' Coop. Soc. Marianella Garcia Villas Onlus;Casa Giovanna ( Casa Alloggio);Via Corte San Paolo N.14 San Cipriano Picentino (SA);40.729288, 14.776318; ;089 881074;coop.marianella@gmail.com;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; La Cooperativa nasce come Cooperativa di solidarietà sociale e si afferma in contrapposizione all’idea assoluta di Stato sociale, che gestisce in proprio servizi socio-assistenziali-sanitari-educativi.
Societa' Coop. Soc. Marianella Garcia Villas Onlus;Centro Prisma (Polifunzionale Diurno);Via Corte San Paolo N.14 San Cipriano Picentino (SA);40.729288, 14.776318; ;089 881074;coop.marianella@gmail.com;Area Disabilità;Centro Diurno Polifunzionale per persone con disabilità; 
Sol.i.so. APS;Sede Legale;Via Madonna Del Monte, 33 - Salerno (SA);40.679250, 14.749215; ;;;Area Disabilità;Servizio di sostegno socio-educativo-ludico-ricreativo; 
Sol.i.so. APS;Istituto Istruzione Superiore “Galilei - Di Palo”;Via Filippo Smaldone, snc - 84129 Salerno (SA);40.679250, 14.749215;;;;Area Disabilità;Sostegno per minori audiolesi;
Sol.i.so. APS;Liceo Sperimentale Statale Alfano I;Via dei Mille, 136 - 84132 Salerno (SA);40.679250, 14.749215;;089 333147;;Area Disabilità;Sostegno per minori audiolesi;
Spaziodonna;Spaziodonna;Via Gaetano Quagliariello, 29 - Salerno (SA);40.674207, 14.787566;www.spaziodonnaonlus.com;0823354126;spaziodonnaonlus@libero.it;;Centro anti-violenza per donne;
Strada Facendo;La Medina;Via Sorrentino, 19 Cava De' Tirreni;40.702323, 14.707299;www.stradafacendo.info;089463800;comunitamedia@stradafacendo.info;Area Minori;Accoglienza residenziale minori; La comunità ha caratteristiche funzionali ed organizzative orientate al modello relazionale familiare. Essa assicura accoglienza e cura dei minori, costante azione educativa, assistenza e tutela, gestione della quotidianità ed organizzazione della vita alla stregua di quanto avviene nel normale clima familiare, coinvolgimento dei minori in tutte le attività di espletamento della vita quotidiana come momento a forte valenza educativa, stesura di progetti educativi individualizzati, gestione delle emergenze, socializzazione e animazione.
Strada Facendo;Scugnizzi In Rada;Via Rotolo Snc, Cava De' Tirreni;40.700243, 14.723350;www.stradafacendo.info;389174945;scugnizziinrada@stradafacendo.info;Area Minori;Accoglienza residenziale minori; L’equipe della comunità è costituita dal Coordinatore-Psicoterapeuta a orientamento strategico-integrato, dallo Psicologo, dal Mediatore Familiare, dagli Educatori e da Operatori Specializzati. Essa assicura una presenza continuativa, prevedendo una compresenza nei momenti principali della giornata in occasione di situazioni particolari e stabilisce nel corso della settimana momenti specifici per le riunioni tra educatori, riunioni con i ragazzi e i Servizi territoriali. Essa mette in atto azioni volte a dare risposta ai bisogni dei minori e assicura accoglienza e cura dei giovani, costante azione educativa, assistenza e tutela, gestione della quotidianità, attività socio educative volte ad un adeguato sviluppo dell’autonomia individuale.
Suore Alcantarine;Centro Orizzonte - Casa Rebecca;Via Coda, 27 - Cava De' Tirreni (SA);40.689945, 14.774494; ;089342141;centroorizzonte@alcantarine.org;Area Minori;Accoglienza residenziale minori; La congregazione è impegnata nell’educazione dei giovani di qualsiasi estrazione sociale , specialmente dei più poveri.
Suore Alcantarine;Centro Orizzonte - Casa Israele;Via Coda, 27 - Cava De' Tirreni (SA);40.689945, 14.774494; ;089342141;centroorizzonte@alcantarine.org;Area Minori;Accoglienza residenziale minori; La congregazione è impegnata nell’educazione dei giovani di qualsiasi estrazione sociale , specialmente dei più poveri.
Una Casa Per La Vita Onlus;Una Casa Per La Vita Ets;Via Gorizia 14, Battipaglia (SA);40.609375, 14.980836;www.unacasaperlavita.it;0828303176;infounacasaperlavita@libero.it;Area Minori;Accoglienza residenziale minori; È una struttura di tipo residenziale che si propone, mediante un modello di vita comunitaria, di accogliere minori in temporanea situazione di disagio socio-familiare e/o ambientale e allontanati dalla famiglia con provvedimento del Tribunale per i Minorenni. La comunità può accogliere fino a 6 minori in età tra i 4 e i 13 anni.
Valle D’Argento 2 Srl;Anni Sereni;Via Dell’Industria, 54 - 84092 Bellizzi (SA);40.630546, 14.958884;www.rsaannisereni.it;0828 354643;rsa.annisereni@gmail.com;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani; Uno degli obiettivi principali è fornire, sempre, un servizio in grado di soddisfare le esigenze esplicite ed implicite degli ospiti dando risposte alle loro necessità, misurandosi continuamente con i loro reali bisogni, in modo da offrire un notevole sollievo anche ai familiari, conferendo loro la certezza che i propri cari sono costantemente seguiti nella nostra struttura.
Villa Carmela Srl;Villa Carmela Srl;Via Vescovo Capaccio 32;40.819916, 14.709918; ;081 969984;villacarmela90@gmail.com;Area Integrazione Socio-Sanitaria;Comunità tutelare;"La struttura eroga servizi di tipo sanitario e socio-assistenziale ad anziani non più completamente autosufficienti che, pertanto, non possono più risiedere presso il proprio domicilio o presso le proprie famiglie.
La nostra struttura garantisce ai suoi ospiti un servizio di animazione il quale riveste un’importanza centrale nella vita della residenza, garantendo l’interazione tra i pazienti e stimolando la loro attività cognitiva."
